,open,high,low,close,volume
2023-03-29,159.37,161.05,159.35,158.638,50415000
2023-03-30,161.53,162.47,161.27100000000002,160.207,46805000
2023-03-31,162.44,165.0,161.91,162.713,68305000
2023-04-03,164.27,166.29,164.22,163.967,54893000
2023-04-04,166.595,166.84,165.11,163.434,44435000
2023-04-05,164.74,165.05,161.8,161.589,51416000
2023-04-06,162.43,164.958,162.0,162.477,44713000
2023-04-10,161.42000000000002,162.03,160.08,159.882,47026000
2023-04-11,162.35,162.36,160.51,158.668,46298000
2023-04-12,161.22,162.06,159.78,157.977,48348000
2023-04-13,161.63,165.8,161.42000000000002,163.365,67157000
2023-04-14,164.59,166.32,163.82,163.019,48081000
2023-04-17,165.09,165.39000000000001,164.03,163.03900000000002,40714000
2023-04-18,166.1,167.41,165.65,164.263,48417000
2023-04-19,165.8,168.16,165.54,165.407,47237000
2023-04-20,166.09,167.87,165.56,164.44,52217000
2023-04-21,165.05,166.452,164.49,162.832,56829000
2023-04-24,165.0,165.6,163.89000000000001,163.138,38959000
2023-04-25,165.19,166.305,163.73,161.598,48166000
2023-04-26,163.055,165.28,162.8,161.589,44122000
2023-04-27,165.19,168.56,165.19,166.177,64233000
2023-04-28,168.49,169.85,167.88,167.43,55096000
2023-05-01,169.28,170.45000000000002,168.64000000000001,167.341,49392000
2023-05-02,170.09,170.35,167.54,166.305,47986000
2023-05-03,169.5,170.92000000000002,167.16,165.23,59439000
2023-05-04,164.89000000000001,167.04,164.31,163.592,70216000
2023-05-05,170.975,174.3,170.76,171.268,112914000
2023-05-08,172.48,173.85,172.11,171.199,50869000
2023-05-09,173.05,173.54,171.6,169.492,45130000
2023-05-10,173.02,174.03,171.9,171.254,53597000
2023-05-11,173.85,174.59,172.17000000000002,171.446,49377000
2023-05-12,173.62,174.06,171.0,170.519,45360000
2023-05-15,173.16,173.21,171.47,170.025,37185000
2023-05-16,171.99,173.138,171.799,170.025,41997000
2023-05-17,171.71,172.925,170.42000000000002,170.637,57805000
2023-05-18,173.0,175.24,172.58,172.969,65090000
2023-05-19,176.39000000000001,176.39000000000001,174.94,173.078,55593000
2023-05-22,173.98,174.71,173.45000000000002,172.129,43291000
2023-05-23,173.13,173.379,171.275,169.52100000000002,49178000
2023-05-24,171.09,172.418,170.52,169.797,43489000
2023-05-25,172.41,173.895,171.69,170.934,55919000
2023-05-26,173.32,175.77,173.11,173.345,54699000
2023-05-30,176.96,178.99,176.57,175.192,55769000
2023-05-31,177.32500000000002,179.35,176.76,175.143,99467000
2023-06-01,177.70000000000002,180.12,176.931,177.949,65408000
2023-06-02,181.03,181.78,179.26,178.799,59942000
2023-06-05,182.63,184.951,178.035,177.445,121391000
2023-06-06,179.965,180.12,177.43,177.08,64341000
2023-06-07,178.44,181.21,177.32,175.70600000000002,61622000
2023-06-08,177.895,180.84,177.46,178.423,50046000
2023-06-09,181.5,182.23,180.63,178.809,48781000
2023-06-12,181.27,183.89000000000001,180.97,181.605,53564000
2023-06-13,182.8,184.15,182.44,181.131,54648000
2023-06-14,183.37,184.39000000000001,182.02,181.763,56523000
2023-06-15,183.96,186.52,183.78,183.799,65278000
2023-06-16,186.73,186.99,184.27,182.722,93807000
2023-06-20,184.41,186.1,184.41,182.811,49702000
2023-06-21,184.9,185.41,182.59,181.773,49359000
2023-06-22,183.74,187.04500000000002,183.67000000000002,184.77700000000002,50842000
2023-06-23,185.55,187.56,185.01,184.461,53079000
2023-06-26,186.83,188.05,185.23,183.068,47877000
2023-06-27,185.89000000000001,188.39000000000001,185.67000000000002,185.824,49727000
2023-06-28,187.93,189.9,187.6,187.0,50900000
2023-06-29,189.08,190.07,188.94,187.336,45489000
2023-06-30,191.63,194.48000000000002,191.26,191.66400000000002,84376000
2023-07-03,193.78,193.88,191.76,190.172,32443000
2023-07-05,191.565,192.98000000000002,190.62,189.056,46585000
2023-07-06,189.84,192.02,189.20000000000002,189.53,44995000
