ticker,dimension,calendardate,datekey,reportperiod,fiscalperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital,permaticker,sid
AAPL,ARQ,2014-03-31,2014-04-24,2014-03-29,2014-Q2,2025-10-31,-251000000.0,205989000000.0,,70541000000.0,135448000000.0,,4.907,-1486000000.0,18949000000.0,18949000000.0,27699000000.0,10223000000.0,1.633,0.714,16962000000.0,0.0,16962000000.0,16962000000.0,11474000000.0,1887000000.0,0.0,0.021,0.109,13903000000.0,15790000000.0,0.346,15790000000.0,13903000000.0,13818000000.0,0.417,0.415,0.417,120179000000.0,,120179000000.0,487079290370.0,9.0,8.267,12052000000.0,0.492,1.0,17947000000.0,0.393,5983000000.0,85000000.0,154811000000.0,,1829000000.0,131640000000.0,22401000000.0,109239000000.0,85810000000.0,43208000000.0,42602000000.0,489066290370.0,4872000000.0,-34000000.0,-17764000000.0,0.0,-2661000000.0,-20407000000.0,11741000000.0,13289000000.0,13538000000.0,0.0,10223000000.0,10223000000.0,10223000000.0,0.0,0.0,0.224,4354000000.0,13593000000.0,18914000000.0,0.261,4.069,12.97,13.473,15120000000.0,0.0,20.277,2.778,2.821,15820000000.0,98934000000.0,45646000000.0,45646000000.0,1422000000.0,,,,,696000000.0,2932000000.0,1.0,24118668000.0,24493196000.0,24626784000.0,1.864,200006000000.0,4014000000.0,3595000000.0,0.0,8.166,27333000000.0,199059.0,199059
AAPL,ARQ,2014-06-30,2014-07-23,2014-06-28,2014-Q3,2025-10-31,86000000.0,222520000000.0,,67949000000.0,154571000000.0,,5.029,-2431000000.0,12977000000.0,12977000000.0,22697000000.0,7748000000.0,1.471,0.84,31040000000.0,2010000000.0,29030000000.0,31040000000.0,11454000000.0,1946000000.0,0.0,0.018,0.117,10584000000.0,12530000000.0,0.335,12530000000.0,10584000000.0,10484000000.0,0.323,0.32,0.323,120940000000.0,,120940000000.0,600023793730.0,11.0,9.956,7824000000.0,0.325,1.0,14735000000.0,0.394,6141000000.0,100000000.0,188237000000.0,,1594000000.0,151513000000.0,24828000000.0,126685000000.0,101580000000.0,46205000000.0,55375000000.0,581960793730.0,-5972000000.0,-339000000.0,-4906000000.0,13970000000.0,-2867000000.0,5987000000.0,-22214000000.0,-19474000000.0,10255000000.0,0.0,7748000000.0,7748000000.0,7748000000.0,0.0,0.0,0.207,4453000000.0,10282000000.0,20535000000.0,0.364,4.812,15.094,15.575,17585000000.0,0.0,24.297,3.267,3.28,16841000000.0,98715000000.0,37432000000.0,37432000000.0,1603000000.0,,,,,724000000.0,2850000000.0,1.0,23951468000.0,24050540000.0,24206844000.0,1.556,216379000000.0,3884000000.0,2736000000.0,0.0,8.997,21744000000.0,199059.0,199059
AAPL,ARQ,2014-09-30,2014-10-27,2014-09-27,2014-Q4,2025-10-31,1082000000.0,231839000000.0,,68531000000.0,163308000000.0,,4.7,-3852000000.0,13844000000.0,13844000000.0,26114000000.0,8467000000.0,1.08,1.078,35295000000.0,6308000000.0,28987000000.0,35295000000.0,11522000000.0,1969000000.0,0.0,0.017,0.117,11587000000.0,13556000000.0,0.322,13556000000.0,11587000000.0,11472000000.0,0.36,0.35,0.36,111547000000.0,,111547000000.0,637904332400.0,12.0,10.32,9398000000.0,0.396,1.0,16009000000.0,0.38,8758000000.0,115000000.0,181084000000.0,,2111000000.0,141395000000.0,11233000000.0,130162000000.0,120292000000.0,63448000000.0,56844000000.0,616453332400.0,867000000.0,-2867000000.0,-16705000000.0,4296000000.0,-2829000000.0,-15380000000.0,2997000000.0,9707000000.0,13250000000.0,0.0,8467000000.0,8467000000.0,8467000000.0,0.0,0.0,0.201,4844000000.0,11165000000.0,30196000000.0,0.326,5.526,15.602,16.221,20624000000.0,0.0,26.277,3.372,3.499,27219000000.0,87152000000.0,42123000000.0,42123000000.0,1686000000.0,,,,,762000000.0,3158000000.0,1.0,23459360000.0,23735388000.0,23888324000.0,1.775,223081000000.0,4318000000.0,3005000000.0,0.0,9.399,5083000000.0,199059.0,199059
AAPL,ARQ,2014-12-31,2015-01-28,2014-12-27,2015-Q1,2025-10-31,1963000000.0,261894000000.0,,83403000000.0,178491000000.0,,5.277,-3265000000.0,19478000000.0,19478000000.0,44858000000.0,18024000000.0,1.133,1.124,36403000000.0,3899000000.0,32504000000.0,36403000000.0,12467000000.0,2575000000.0,0.0,0.016,0.117,24547000000.0,27122000000.0,0.364,27122000000.0,24547000000.0,24416000000.0,0.77,0.77,0.77,123328000000.0,,123328000000.0,688576691880.0,11.0,9.98,30457000000.0,1.303,1.0,29741000000.0,0.399,8999000000.0,131000000.0,196209000000.0,,2283000000.0,158477000000.0,12985000000.0,145492000000.0,138566000000.0,73611000000.0,64955000000.0,671651691880.0,5634000000.0,-23000000.0,-4950000000.0,1076000000.0,-2801000000.0,-6923000000.0,-21165000000.0,-17942000000.0,33722000000.0,0.0,18024000000.0,18024000000.0,18024000000.0,0.0,0.0,0.242,5495000000.0,24246000000.0,38001000000.0,0.153,5.446,15.106,15.416,20392000000.0,0.0,28.828,3.362,3.372,29976000000.0,97178000000.0,74599000000.0,74599000000.0,1895000000.0,,,,,888000000.0,3600000000.0,1.0,23298992000.0,23372328000.0,23527212000.0,3.192,252895000000.0,5046000000.0,6392000000.0,0.0,10.82,9792000000.0,199059.0,199059
AAPL,ARQ,2015-03-31,2015-04-28,2015-03-28,2015-Q2,2025-10-31,2710000000.0,261194000000.0,,67891000000.0,193303000000.0,,5.567,-2476000000.0,14489000000.0,14489000000.0,34354000000.0,13569000000.0,1.156,1.025,43871000000.0,3799000000.0,40072000000.0,43871000000.0,12515000000.0,2479000000.0,0.0,0.014,0.117,18727000000.0,21206000000.0,0.366,21206000000.0,18727000000.0,18564000000.0,0.58,0.58,0.58,129006000000.0,,129006000000.0,781542076800.0,12.0,10.503,16605000000.0,0.716,1.0,23656000000.0,0.408,8772000000.0,163000000.0,223075000000.0,,2396000000.0,179050000000.0,18607000000.0,160443000000.0,132188000000.0,58729000000.0,73459000000.0,752160076800.0,-4989000000.0,-92000000.0,-6741000000.0,7748000000.0,-2743000000.0,-1739000000.0,-22331000000.0,-19786000000.0,19081000000.0,0.0,13569000000.0,13569000000.0,13569000000.0,0.0,0.0,0.234,5378000000.0,18278000000.0,23159000000.0,0.203,5.83,15.733,16.055,20151000000.0,0.0,32.64,3.545,3.565,18164000000.0,100920000000.0,58010000000.0,58010000000.0,1918000000.0,,,,,927000000.0,3460000000.0,1.0,23044120000.0,23175196000.0,23339432000.0,2.503,252422000000.0,5141000000.0,4995000000.0,0.0,10.892,9162000000.0,199059.0,199059
AAPL,ARQ,2015-06-30,2015-07-22,2015-06-27,2015-Q3,2025-10-31,1098000000.0,273151000000.0,,70953000000.0,202198000000.0,,5.483,-2089000000.0,15319000000.0,15319000000.0,29924000000.0,10677000000.0,1.087,1.173,54418000000.0,6999000000.0,47419000000.0,54418000000.0,12562000000.0,3084000000.0,0.0,0.015,0.13,14674000000.0,17758000000.0,0.358,17758000000.0,14674000000.0,14473000000.0,0.465,0.463,0.465,125677000000.0,,125677000000.0,753193848840.0,11.0,9.457,12899000000.0,0.563,1.0,19681000000.0,0.397,8823000000.0,201000000.0,238142000000.0,,2042000000.0,187529000000.0,19384000000.0,168145000000.0,147474000000.0,65285000000.0,82189000000.0,714094848840.0,830000000.0,-115000000.0,-9985000000.0,10680000000.0,-3053000000.0,-2755000000.0,-11403000000.0,-9245000000.0,14988000000.0,0.0,10677000000.0,10677000000.0,10677000000.0,0.0,0.0,0.215,5598000000.0,14083000000.0,26474000000.0,0.28,5.682,14.074,14.393,21149000000.0,0.0,31.305,3.183,3.198,19907000000.0,98252000000.0,49605000000.0,49605000000.0,2034000000.0,,,,,856000000.0,3564000000.0,1.0,22810888000.0,22919544000.0,23092396000.0,2.164,264328000000.0,5010000000.0,3796000000.0,0.0,11.533,5668000000.0,199059.0,199059
AAPL,ARQ,2015-09-30,2015-10-28,2015-09-26,2015-Q4,2025-10-31,-345000000.0,290479000000.0,,89378000000.0,201101000000.0,,5.284,-3658000000.0,21120000000.0,21120000000.0,30953000000.0,11124000000.0,1.109,1.434,64462000000.0,10999000000.0,53463000000.0,64462000000.0,12564000000.0,3119000000.0,0.0,0.017,0.13,15300000000.0,18419000000.0,0.358,18419000000.0,15300000000.0,15062000000.0,0.5,0.5,0.5,119355000000.0,,119355000000.0,708311728370.0,10.0,8.382,9817000000.0,0.435,1.0,20548000000.0,0.399,9009000000.0,238000000.0,244202000000.0,,2349000000.0,184546000000.0,20481000000.0,164065000000.0,171124000000.0,80610000000.0,90514000000.0,664969728370.0,5801000000.0,-113000000.0,-13034000000.0,9801000000.0,-2964000000.0,-6299000000.0,-1375000000.0,2556000000.0,13475000000.0,0.0,11124000000.0,11124000000.0,11124000000.0,0.0,0.0,0.216,5925000000.0,14623000000.0,35490000000.0,0.26,5.571,12.454,12.852,22471000000.0,0.0,29.817,2.845,2.936,30343000000.0,92284000000.0,51501000000.0,51501000000.0,2220000000.0,,,,,915000000.0,3705000000.0,1.0,22301324000.0,22587672000.0,22730064000.0,2.28,281470000000.0,5546000000.0,3938000000.0,0.0,12.461,8768000000.0,199059.0,199059
AAPL,ARQ,2015-12-31,2016-01-27,2015-12-26,2016-Q1,2025-10-31,-1480000000.0,293284000000.0,,76219000000.0,217065000000.0,,5.769,-4006000000.0,16689000000.0,16689000000.0,45449000000.0,18361000000.0,1.002,1.287,62963000000.0,9759000000.0,53204000000.0,62963000000.0,12535000000.0,2954000000.0,0.0,0.022,0.13,24849000000.0,27803000000.0,0.366,27803000000.0,24849000000.0,24573000000.0,0.82,0.82,0.82,128267000000.0,,128267000000.0,564248943860.0,8.0,6.624,23457000000.0,1.055,1.0,30423000000.0,0.401,9126000000.0,276000000.0,254340000000.0,,2451000000.0,199050000000.0,21385000000.0,177665000000.0,165017000000.0,76092000000.0,88925000000.0,517974943860.0,-4431000000.0,-86000000.0,-6862000000.0,-1240000000.0,-2969000000.0,-11444000000.0,-20450000000.0,-16060000000.0,27463000000.0,0.0,18361000000.0,18361000000.0,18361000000.0,0.0,0.0,0.242,6252000000.0,24171000000.0,33312000000.0,0.159,4.038,9.64,9.875,22300000000.0,0.0,23.355,2.204,2.21,24621000000.0,101494000000.0,75872000000.0,75872000000.0,2404000000.0,,,,,1078000000.0,3848000000.0,1.0,22178332000.0,22235720000.0,22376508000.0,3.412,284158000000.0,0.0,6212000000.0,0.0,12.779,127000000.0,199059.0,199059
AAPL,ARQ,2016-03-31,2016-04-27,2016-03-26,2016-Q2,2025-10-31,-1048000000.0,305277000000.0,,87592000000.0,217685000000.0,,5.914,-2599000000.0,21514000000.0,21514000000.0,30636000000.0,10516000000.0,1.283,1.34,79872000000.0,10498000000.0,69374000000.0,79872000000.0,12783000000.0,2477000000.0,0.0,0.021,0.13,14463000000.0,16940000000.0,0.335,16940000000.0,14463000000.0,14142000000.0,0.477,0.475,0.477,130457000000.0,,130457000000.0,594159713500.0,9.0,7.343,9002000000.0,0.408,1.0,19921000000.0,0.394,9092000000.0,321000000.0,286278000000.0,,2281000000.0,211414000000.0,33769000000.0,177645000000.0,174820000000.0,68265000000.0,106555000000.0,535801713500.0,4825000000.0,-54000000.0,-6421000000.0,16321000000.0,-2902000000.0,6884000000.0,-13660000000.0,-10983000000.0,11601000000.0,0.0,10516000000.0,10516000000.0,10516000000.0,0.0,0.0,0.208,5934000000.0,13987000000.0,25098000000.0,0.273,4.107,10.573,10.811,23203000000.0,0.0,24.455,2.355,2.371,19824000000.0,102021000000.0,50557000000.0,50557000000.0,2511000000.0,,,,,1048000000.0,3423000000.0,1.0,21909700000.0,22057524000.0,22163544000.0,2.292,296185000000.0,0.0,3626000000.0,0.0,13.428,19327000000.0,199059.0,199059
AAPL,ARQ,2016-06-30,2016-07-27,2016-06-25,2016-Q3,2025-10-31,-107000000.0,305602000000.0,,93761000000.0,211841000000.0,,5.812,-2905000000.0,18237000000.0,18237000000.0,26252000000.0,7796000000.0,1.312,1.415,84935000000.0,15996000000.0,68939000000.0,84935000000.0,11416000000.0,2526000000.0,0.0,0.021,0.142,10878000000.0,13404000000.0,0.316,13404000000.0,10878000000.0,10469000000.0,0.357,0.355,0.357,126541000000.0,,126541000000.0,621438206850.0,9.0,8.116,7729000000.0,0.355,1.0,16106000000.0,0.38,8767000000.0,409000000.0,292047000000.0,,1831000000.0,213283000000.0,43519000000.0,169764000000.0,179061000000.0,71486000000.0,107575000000.0,554740206850.0,-3277000000.0,-6000000.0,-10166000000.0,4395000000.0,-3187000000.0,-9441000000.0,-4470000000.0,-1560000000.0,10634000000.0,0.0,7796000000.0,7796000000.0,7796000000.0,0.0,0.0,0.184,6001000000.0,10105000000.0,26318000000.0,0.399,4.384,11.606,11.949,25448000000.0,0.0,25.738,2.518,2.544,19042000000.0,96542000000.0,42358000000.0,42358000000.0,2560000000.0,,,,,1054000000.0,3441000000.0,1.0,21553772000.0,21772232000.0,21891124000.0,1.946,296835000000.0,0.0,2673000000.0,0.0,13.634,22275000000.0,199059.0,199059
